CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2023-06-11,1,HÀ NỘI,2000,72600,10505070111
2023-02-14,0,HÀ NỘI,1500,33476,7321826205
2024-02-08,1,HÀ NỘI,2000,90867,21095316313
2024-01-21,0,HỒ CHÍ MINH,1500,11036,2793874157
2023-06-04,1,HỒ CHÍ MINH,2000,29984,4996980176
2023-04-07,1,HỒ CHÍ MINH,2000,25672,3828101087
2024-04-05,1,HÀ NỘI,1500,22040,5422175239
2023-09-05,1,HỒ CHÍ MINH,2000,40623,5678697396
2024-01-28,1,HỒ CHÍ MINH,1500,6321,2714438050
2023-04-13,1,HÀ NỘI,1500,16009,4444801988
2022-10-10,1,HỒ CHÍ MINH,2000,2132,361036013
2023-03-05,0,HỒ CHÍ MINH,1009,212,10439000
2023-09-19,1,HỒ CHÍ MINH,1009,136,14541365
2022-11-23,0,HÀ NỘI,1009,39,2759600
2022-11-25,0,HỒ CHÍ MINH,1009,174,11443220
2023-04-30,1,HỒ CHÍ MINH,1009,124,18345181
2023-08-08,0,HÀ NỘI,1009,37,1922030
2022-10-10,0,HỒ CHÍ MINH,1009,121,9170620
2022-08-02,0,HÀ NỘI,2000,212470,22027216972
2022-02-13,0,HÀ NỘI,1500,44030,17226763790
2023-04-20,0,HÀ NỘI,1500,23342,4433793136
2023-02-08,1,HỒ CHÍ MINH,1009,49,4694916
2024-03-26,0,HỒ CHÍ MINH,1500,8542,1798522748
2022-11-27,0,HÀ NỘI,2000,220331,23286970804
2024-02-06,1,HỒ CHÍ MINH,2000,46393,8663720520
2022-04-26,0,HỒ CHÍ MINH,1500,12435,3174389657
2023-03-16,0,HỒ CHÍ MINH,1009,172,12516169
2023-01-24,1,HÀ NỘI,2000,33,8708099
2023-04-25,1,HỒ CHÍ MINH,2000,28894,4088669108
2024-02-02,0,HÀ NỘI,2000,105211,11865707709
2023-08-20,1,HỒ CHÍ MINH,2000,42008,6489838123
2023-05-23,0,HÀ NỘI,1500,24914,4478757422
2023-02-02,1,HỒ CHÍ MINH,1500,2202,544590072
2023-12-21,0,HÀ NỘI,2000,82121,7637587160
2023-03-18,1,HỒ CHÍ MINH,1500,6643,2055883989
2023-10-29,1,HỒ CHÍ MINH,1009,134,12072770
2024-03-15,0,HỒ CHÍ MINH,2000,62153,6552836067
2022-08-06,0,HỒ CHÍ MINH,1500,17283,5333226775
2023-05-18,1,HỒ CHÍ MINH,1009,124,11028950
2023-06-20,1,HÀ NỘI,1009,93,11592850
2023-12-15,0,HÀ NỘI,1500,20744,4538790139
2024-03-05,0,HÀ NỘI,1500,21712,4439654795
2023-09-18,0,HÀ NỘI,1009,35,1927100
2022-03-29,0,HỒ CHÍ MINH,1500,12891,3173061987
2022-09-08,0,HỒ CHÍ MINH,2000,112606,14383386300
2022-07-29,0,HỒ CHÍ MINH,1500,14779,3981169358
2022-06-17,0,HỒ CHÍ MINH,2000,102634,13316630928
