CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2022-12-13,1,HÀ NỘI,1009,48,1986390
2023-01-21,1,HỒ CHÍ MINH,1009,49,5873796
2023-03-05,1,HỒ CHÍ MINH,2000,28994,4837950044
2023-02-19,1,HÀ NỘI,1009,50,3031185
2023-05-10,0,HỒ CHÍ MINH,2000,82591,9580635384
2023-07-31,1,HÀ NỘI,1500,17722,5989481695
2023-07-08,0,HỒ CHÍ MINH,1009,117,8001445
2022-09-12,0,HÀ NỘI,1500,40876,10143268470
2023-10-13,0,HÀ NỘI,1500,26394,5537318968
2022-10-05,0,HỒ CHÍ MINH,1500,13533,3283129801
2023-09-14,1,HÀ NỘI,1009,62,6139050
2023-06-04,0,HỒ CHÍ MINH,1009,134,7500655
2023-08-18,1,HỒ CHÍ MINH,1009,159,16102006
2023-08-26,1,HÀ NỘI,1009,93,9516124
2023-11-01,0,HÀ NỘI,1500,23098,4852845383
2023-05-20,0,HỒ CHÍ MINH,2000,87529,8747399169
2023-06-06,1,HÀ NỘI,1500,16005,4948769774
2023-12-31,0,HÀ NỘI,1500,24627,7274154490
2024-02-23,1,HÀ NỘI,1500,19956,5740988047
2023-11-28,1,HỒ CHÍ MINH,2000,45620,5941323285
2023-09-11,1,HÀ NỘI,2000,82735,10056522400
2022-06-19,0,HÀ NỘI,2000,233441,26164735684
2022-10-08,0,HỒ CHÍ MINH,1500,16900,4996451198
2023-06-04,0,HÀ NỘI,2000,144042,12961692359
2023-07-31,0,HỒ CHÍ MINH,2000,78186,7168007948
2024-01-27,0,HỒ CHÍ MINH,2000,63104,5763738329
2024-01-09,1,HÀ NỘI,2000,96454,11059284885
2023-08-01,0,HÀ NỘI,2000,102280,8702853336
2023-02-10,0,HÀ NỘI,2000,146983,15467474345
2022-10-16,1,HÀ NỘI,2000,6109,965284926
2023-06-26,1,HÀ NỘI,2000,83547,10358609886
2023-08-06,1,HÀ NỘI,1500,26148,9804032274
2022-11-05,1,HÀ NỘI,2000,8266,1387401013
2023-06-06,0,HỒ CHÍ MINH,1009,139,6681731
2023-09-03,1,HÀ NỘI,1009,76,7443140
2022-03-05,0,HÀ NỘI,2000,161868,20884993671
2023-04-17,1,HỒ CHÍ MINH,1500,5982,1490110175
2022-11-16,1,HÀ NỘI,1009,23,1460200
2022-09-24,1,HÀ NỘI,2000,7153,1175451539
2022-08-30,0,HÀ NỘI,1500,42232,11824929370
2023-07-03,1,HÀ NỘI,1500,16877,5000868241
2023-03-26,1,HÀ NỘI,1009,61,7350995
2024-03-28,1,HỒ CHÍ MINH,1500,5095,1404021524
2023-08-07,1,HỒ CHÍ MINH,1500,5455,1650629541
2023-10-28,1,HỒ CHÍ MINH,1500,7735,2572424766
2023-09-02,0,HỒ CHÍ MINH,2000,77003,7491411170
2023-07-13,0,HÀ NỘI,1500,28494,5874126884
2023-08-18,1,HỒ CHÍ MINH,2000,34370,4857593659
2023-01-10,0,HỒ CHÍ MINH,2000,84288,11460208704
2022-04-17,0,HÀ NỘI,1500,48718,16856706900
2022-11-21,0,HỒ CHÍ MINH,1500,14342,4052194817
2024-03-06,1,HỒ CHÍ MINH,2000,46521,5939814743
2023-10-04,1,HÀ NỘI,1500,17256,4911732497
2024-01-16,0,HỒ CHÍ MINH,1500,8464,1760817707
2023-08-04,0,HÀ NỘI,1009,52,2464500
2023-03-24,1,HÀ NỘI,1009,32,3543950
2023-03-24,0,HỒ CHÍ MINH,1009,151,8911425
2022-11-21,1,HÀ NỘI,1009,12,736500
2023-10-12,0,HÀ NỘI,1009,58,2783230
2023-12-03,0,HỒ CHÍ MINH,1500,11471,3348919378
2023-03-11,0,HỒ CHÍ MINH,2000,90959,9919225205
2023-08-02,0,HÀ NỘI,1500,27433,5667451277
2023-12-05,0,HỒ CHÍ MINH,1500,8599,1919805397
2023-06-06,0,HÀ NỘI,2000,130298,11385651028
2022-03-15,0,HỒ CHÍ MINH,2000,108582,15826244908
2023-09-03,1,HÀ NỘI,2000,63582,8644364020
2022-02-26,0,HỒ CHÍ MINH,1500,14228,5002094225
2023-02-12,0,HÀ NỘI,1500,39577,10544929083
2022-02-12,0,HÀ NỘI,1500,36406,14480659769
2022-12-09,0,HỒ CHÍ MINH,2000,102821,12586966825
2022-08-01,0,HỒ CHÍ MINH,2000,106127,13672116144
2022-05-06,0,HỒ CHÍ MINH,1500,12792,3200187815
2022-12-13,0,HÀ NỘI,2000,183676,19871750027
2022-01-11,0,HỒ CHÍ MINH,1500,10459,3838509717
2022-03-13,0,HỒ CHÍ MINH,2000,116938,15342154329
2023-09-14,0,HÀ NỘI,1500,27822,5785822311
2023-10-30,0,HÀ NỘI,1500,24104,5382196556
2023-08-03,1,HÀ NỘI,2000,98133,11640543304
2023-11-19,0,HỒ CHÍ MINH,1500,10590,2419623213
2023-01-30,1,HỒ CHÍ MINH,1500,4188,806050534
2023-08-16,1,HỒ CHÍ MINH,2000,38027,5494622328
2022-12-28,1,HỒ CHÍ MINH,2000,5356,702162297
2022-12-25,1,HÀ NỘI,2000,6707,1070233817
2022-12-04,1,HÀ NỘI,1009,108,2739350
2023-04-01,0,HỒ CHÍ MINH,1009,192,11915375
2024-04-15,0,HỒ CHÍ MINH,1009,49,2727873
2023-01-13,1,HÀ NỘI,1009,44,3541375
2022-11-09,0,HÀ NỘI,1009,22,1268920
2023-08-11,0,HÀ NỘI,1009,40,1510900
2022-12-05,0,HÀ NỘI,1500,39563,9240766474
2024-02-19,0,HỒ CHÍ MINH,2000,61269,6490286616
2022-11-09,1,HÀ NỘI,1009,22,2504600
2023-08-31,1,HỒ CHÍ MINH,1009,152,93898770
2023-09-25,0,HỒ CHÍ MINH,1009,211,14049637
2022-12-17,1,HÀ NỘI,2000,6638,1153310583
2022-04-11,0,HỒ CHÍ MINH,2000,111879,15101727510
2023-11-17,1,HỒ CHÍ MINH,2000,42519,5621242405
2022-02-05,0,HÀ NỘI,1500,32098,10094139143
2022-10-27,0,HÀ NỘI,2000,193223,19918476635
2022-06-28,0,HÀ NỘI,2000,227711,24329533275
2024-02-15,0,HÀ NỘI,2000,117464,10593406840
2022-04-08,0,HỒ CHÍ MINH,2000,102350,13647208038
2023-12-09,1,HÀ NỘI,2000,106225,13864985018
2023-10-24,1,HỒ CHÍ MINH,2000,43190,5993115243
2023-05-30,1,HỒ CHÍ MINH,2000,30256,4512945238
2024-02-27,1,HÀ NỘI,1500,19350,4839412889
2022-09-03,1,HÀ NỘI,2000,3578,568777471
2023-03-08,1,HỒ CHÍ MINH,1009,81,8877846
2023-01-07,1,HÀ NỘI,1009,50,2224700
2024-03-29,1,HỒ CHÍ MINH,2000,42596,5487321211
2023-10-07,0,HỒ CHÍ MINH,2000,83631,9393684816
2023-04-18,1,HÀ NỘI,1009,44,7952691
2022-04-06,0,HÀ NỘI,1500,35691,9619257201
2023-06-23,1,HÀ NỘI,1500,17124,6025410863
2023-04-05,0,HỒ CHÍ MINH,1009,174,13666600
2022-09-15,0,HỒ CHÍ MINH,1500,13282,3333256436
2023-07-03,1,HỒ CHÍ MINH,1500,5402,1586558603
2023-12-13,0,HỒ CHÍ MINH,2000,63382,6898162294
2023-03-03,1,HỒ CHÍ MINH,1500,3348,940675086
2023-12-15,0,HỒ CHÍ MINH,1009,83,5314685
2023-02-22,0,HÀ NỘI,2000,140964,13366214827
2022-09-09,0,HỒ CHÍ MINH,2000,108552,13644207332
2023-12-09,0,HỒ CHÍ MINH,1500,10860,2782997315
2023-06-05,0,HÀ NỘI,2000,137180,11594211337
2023-10-05,1,HÀ NỘI,1009,101,25589400
2023-01-09,1,HÀ NỘI,1009,59,6234315
2022-10-02,0,HÀ NỘI,1009,33,2241300
2022-09-19,0,HÀ NỘI,2000,217039,23746181625
2024-03-08,0,HÀ NỘI,2000,109998,12391982826
2023-08-03,0,HỒ CHÍ MINH,1500,9594,2065557094
2024-03-01,0,HỒ CHÍ MINH,2000,59993,5704482974
2023-11-17,1,HÀ NỘI,1500,20438,5208811229
2023-09-11,0,HỒ CHÍ MINH,1500,8968,1744754672
2023-09-19,1,HÀ NỘI,2000,85661,9860603935
2022-12-07,0,HỒ CHÍ MINH,1500,13024,3215957914
2023-09-16,1,HỒ CHÍ MINH,1009,177,13390558
2023-08-14,0,HỒ CHÍ MINH,1009,85,4307010
2023-08-12,1,HÀ NỘI,1009,92,10924720
2023-11-29,1,HỒ CHÍ MINH,2000,44325,5961158516
2022-12-24,1,HỒ CHÍ MINH,1009,69,7150360
2023-06-11,0,HÀ NỘI,1500,31713,8984511796
2023-06-02,0,HÀ NỘI,1009,68,4104350
2023-06-02,0,HỒ CHÍ MINH,1500,9437,1879114789
2023-07-20,1,HỒ CHÍ MINH,2000,31812,4589394229
2023-06-07,0,HÀ NỘI,1500,28663,5200278821
2023-05-26,0,HỒ CHÍ MINH,2000,80863,7711042453
2023-06-19,0,HÀ NỘI,1500,26538,4925259987
2022-04-06,0,HÀ NỘI,2000,188185,20935572110
2023-08-09,1,HỒ CHÍ MINH,1009,194,14505020
2023-06-06,1,HÀ NỘI,2000,64634,8663690002
2023-10-01,0,HÀ NỘI,1500,33282,8116962988
2023-03-27,1,HÀ NỘI,1500,13360,3587512716
2022-11-02,0,HỒ CHÍ MINH,1500,13444,3288573757
2023-03-14,0,HỒ CHÍ MINH,1009,172,13348020
2022-11-07,0,HỒ CHÍ MINH,1500,13959,3703280555
2023-11-16,1,HÀ NỘI,1500,21404,6044648955
2023-01-04,0,HỒ CHÍ MINH,1500,13237,4069802057
2023-10-04,1,HỒ CHÍ MINH,2000,41564,5662974475
2022-03-30,0,HỒ CHÍ MINH,2000,105121,13603208195
2023-10-22,1,HÀ NỘI,2000,102937,13106716481
2023-12-26,1,HÀ NỘI,2000,100033,11732876309
2023-11-09,1,HÀ NỘI,2000,106149,12272862687
2024-02-20,0,HÀ NỘI,2000,100928,8648619955
2023-11-17,0,HỒ CHÍ MINH,1009,85,2257088
2023-02-09,1,HÀ NỘI,1500,9187,2562637561
2023-05-02,1,HÀ NỘI,1500,15406,5285534704
2023-11-09,0,HỒ CHÍ MINH,1009,120,5389229
2023-04-05,1,HÀ NỘI,1009,45,7151235
2023-01-02,0,HỒ CHÍ MINH,1009,154,10911600
2022-07-26,0,HÀ NỘI,1500,44598,11564314493
2024-03-07,1,HỒ CHÍ MINH,1009,110,14886088
2022-09-26,1,HÀ NỘI,1009,15,1138020
2022-08-12,0,HỒ CHÍ MINH,2000,106365,13393434005
2023-04-11,1,HỒ CHÍ MINH,1500,5786,1419177972
2024-02-24,0,HÀ NỘI,1500,22527,5086705650
2022-09-23,1,HÀ NỘI,2000,5671,840402941
2022-12-09,0,HÀ NỘI,1500,40377,10243407542
2024-01-30,0,HÀ NỘI,2000,90024,10007391305
2023-05-11,0,HỒ CHÍ MINH,1500,7618,1480388106
2024-03-12,0,HỒ CHÍ MINH,1500,9225,2264734421
2023-07-29,1,HỒ CHÍ MINH,2000,37688,6112681763
2022-11-27,0,HỒ CHÍ MINH,1009,193,10933195
2022-11-03,1,HỒ CHÍ MINH,1009,53,3850670
2022-07-27,0,HỒ CHÍ MINH,1500,14233,3603034515
2023-07-10,1,HÀ NỘI,1500,18216,5315746526
2022-07-19,0,HỒ CHÍ MINH,1500,14068,3603207650
2023-12-20,1,HỒ CHÍ MINH,1009,229,59209177
2022-05-09,0,HỒ CHÍ MINH,1500,13363,3226668358
2024-04-07,1,HỒ CHÍ MINH,1500,6460,2137187302
2023-06-03,0,HÀ NỘI,1500,30752,6496057788
2023-06-03,1,HỒ CHÍ MINH,2000,30299,4959030048
2023-07-14,1,HÀ NỘI,1009,111,7634700
2022-07-06,0,HỒ CHÍ MINH,2000,109154,13780506080
2023-05-02,0,HỒ CHÍ MINH,1009,208,12186300
2023-02-08,0,HỒ CHÍ MINH,1009,156,8368600
2023-02-24,1,HÀ NỘI,2000,44077,5437795080
2022-08-14,0,HÀ NỘI,1500,56958,17575830781
2024-03-12,0,HÀ NỘI,1500,21262,4288727886
2022-02-20,0,HÀ NỘI,2000,174938,24941422466
2022-01-10,0,HÀ NỘI,2000,149131,19546171085
2022-09-04,0,HỒ CHÍ MINH,2000,118023,14475366618
2022-01-07,0,HÀ NỘI,2000,164179,20175415628
2023-10-05,1,HỒ CHÍ MINH,1009,129,15614316
2024-03-23,0,HÀ NỘI,1500,25482,6923886347
2023-09-25,1,HỒ CHÍ MINH,2000,42238,5885519274
2023-02-27,0,HÀ NỘI,1500,25956,6315746170
2023-01-09,1,HỒ CHÍ MINH,1500,3894,865135884
2023-01-09,1,HỒ CHÍ MINH,2000,20809,3178239125
2022-12-19,1,HÀ NỘI,1009,54,2475815
2022-09-29,1,HÀ NỘI,1009,12,991000
2023-03-03,0,HÀ NỘI,1009,55,2897130
2024-01-22,0,HỒ CHÍ MINH,1500,8691,2392077977
2023-11-06,1,HÀ NỘI,1009,15,2536400
2023-06-29,0,HÀ NỘI,2000,120123,9996533195
2023-10-09,0,HÀ NỘI,1500,25637,4914468908
2023-05-22,1,HỒ CHÍ MINH,1500,5079,1455046295
2024-03-07,0,HỒ CHÍ MINH,1500,9109,1859007627
2022-07-23,0,HÀ NỘI,1500,53543,16496893374
2023-04-06,0,HÀ NỘI,2000,135840,12146678120
2023-07-19,0,HÀ NỘI,1500,28274,5745691813
2023-01-01,1,HỒ CHÍ MINH,2000,4499,793745978
2023-05-29,0,HỒ CHÍ MINH,1009,118,5396170
2023-12-31,1,HỒ CHÍ MINH,1009,215,66180110
2023-11-18,0,HỒ CHÍ MINH,1009,97,5195792
2022-12-12,1,HỒ CHÍ MINH,1009,106,10402688
2023-08-27,0,HÀ NỘI,1009,55,2892820
2023-05-10,1,HÀ NỘI,1009,51,5559850
2023-02-15,1,HÀ NỘI,1009,69,4534740
2022-12-06,0,HỒ CHÍ MINH,2000,104658,13081442020
2022-07-13,0,HÀ NỘI,1500,44205,10678293129
2023-04-18,1,HỒ CHÍ MINH,2000,27950,4043522942
2022-07-01,0,HỒ CHÍ MINH,1500,14311,3618845746
2023-01-25,0,HÀ NỘI,2000,94338,10821728033
2023-12-08,0,HỒ CHÍ MINH,1500,8349,1857043226
2024-02-09,0,HỒ CHÍ MINH,2000,45350,6295189738
2023-12-10,1,HỒ CHÍ MINH,2000,57526,8441019734
2024-02-04,0,HÀ NỘI,1500,38298,20252286048
2023-01-17,0,HỒ CHÍ MINH,1009,187,8916775
2023-05-29,0,HÀ NỘI,1500,26516,4948162350
2022-09-16,0,HỒ CHÍ MINH,1009,152,12430620
2023-09-15,1,HỒ CHÍ MINH,2000,41966,5928670082
2022-04-10,0,HÀ NỘI,1500,45606,14785854425
2022-11-24,0,HỒ CHÍ MINH,2000,113096,13972535779
2023-11-10,0,HỒ CHÍ MINH,1500,7803,1551695143
2022-09-17,0,HÀ NỘI,1500,53549,15959215974
2023-10-04,1,HÀ NỘI,2000,96407,11194322052
2023-07-12,0,HÀ NỘI,1500,28217,5096089362
2023-12-22,1,HỒ CHÍ MINH,1009,203,25908126
2024-01-05,1,HỒ CHÍ MINH,1009,132,16105532
2022-01-12,0,HÀ NỘI,2000,165083,21787531611
2023-05-05,0,HỒ CHÍ MINH,1500,7468,1536527829
2023-02-18,1,HÀ NỘI,1009,39,2221220
2022-09-30,0,HỒ CHÍ MINH,1009,137,18249546
2023-12-13,1,HÀ NỘI,1500,21414,4967278812
2022-05-02,0,HỒ CHÍ MINH,1500,15757,4728922786
2023-01-27,1,HÀ NỘI,2000,27892,3692459967
2022-12-21,1,HÀ NỘI,1009,47,1982800
2022-12-02,1,HỒ CHÍ MINH,1009,101,9362550
2023-10-18,1,HÀ NỘI,1009,66,32950740
2023-12-04,0,HÀ NỘI,1500,18733,3724046063
2022-11-14,1,HÀ NỘI,1009,15,1666500
2023-04-10,1,HÀ NỘI,1500,14904,3955270969
2023-12-25,1,HỒ CHÍ MINH,2000,55972,6832839443
2023-03-02,0,HÀ NỘI,1500,26155,5736757200
2023-01-03,0,HỒ CHÍ MINH,1009,185,11653525
2022-12-05,0,HỒ CHÍ MINH,1009,146,9706580
2022-12-15,0,HÀ NỘI,1500,39537,10017051993
2022-09-22,0,HÀ NỘI,1500,41286,10024567668
2022-06-16,0,HÀ NỘI,1500,43836,10938962503
2022-02-28,0,HỒ CHÍ MINH,2000,105904,14874200680
2023-03-22,0,HÀ NỘI,1500,27451,6237140416
2023-04-04,1,HỒ CHÍ MINH,1500,4373,1237832858
2024-03-10,0,HỒ CHÍ MINH,1500,11525,3677809306
2023-05-18,0,HỒ CHÍ MINH,2000,83742,9188800636
2023-10-06,0,HÀ NỘI,1500,26485,5084319624
2023-05-16,0,HÀ NỘI,1500,23791,4571202603
2023-12-13,1,HÀ NỘI,2000,103900,11671257354
2023-09-15,0,HỒ CHÍ MINH,2000,74669,8184333043
2023-07-30,1,HÀ NỘI,2000,106788,15006116005
2023-05-04,1,HỒ CHÍ MINH,2000,28806,4201590369
2023-09-25,0,HÀ NỘI,1500,26799,5188704414
2023-12-18,1,HỒ CHÍ MINH,1500,5507,1489859099
2022-04-03,0,HỒ CHÍ MINH,1500,16631,5320686729
2023-06-24,0,HỒ CHÍ MINH,2000,83676,8134042441
2023-05-26,1,HÀ NỘI,2000,57273,7979766761
2023-12-23,0,HÀ NỘI,1500,24293,5627247024
2024-04-06,1,HỒ CHÍ MINH,2000,49039,6913515228
2024-02-22,0,HỒ CHÍ MINH,2000,57485,5900098015
2024-01-03,1,HÀ NỘI,1500,20428,6178591605
2023-09-29,1,HỒ CHÍ MINH,1500,5445,1800911314
2023-06-12,0,HÀ NỘI,1500,28179,5065307581
2023-12-24,1,HỒ CHÍ MINH,2000,61762,8584769221
2024-01-01,0,HỒ CHÍ MINH,1500,10820,2545525741
2023-08-26,1,HÀ NỘI,1500,22125,8195333149
2023-01-11,1,HỒ CHÍ MINH,1500,3117,894779792
2023-04-16,1,HÀ NỘI,1500,22461,8340381169
2023-04-06,1,HỒ CHÍ MINH,1500,4709,1306540449
2023-01-08,0,HỒ CHÍ MINH,1500,12757,4430917060
2023-02-15,1,HÀ NỘI,1500,11527,3216703017
2023-02-27,1,HỒ CHÍ MINH,1500,3571,946507814
2023-03-15,0,HÀ NỘI,1009,84,5812100
2023-01-02,0,HÀ NỘI,1009,60,3757240
2023-06-14,0,HÀ NỘI,1009,50,2885850
2023-10-17,0,HÀ NỘI,1009,53,6950500
2022-12-31,0,HÀ NỘI,1009,51,3758680
2022-10-20,0,HÀ NỘI,1500,41287,10302168690
2024-02-29,1,HÀ NỘI,1500,19809,4883064907
2024-03-28,0,HỒ CHÍ MINH,1009,34,1230140
2024-01-13,1,HỒ CHÍ MINH,2000,60630,8319607650
2023-02-19,0,HỒ CHÍ MINH,1009,171,10729442
2022-10-04,1,HỒ CHÍ MINH,1009,33,2866788
2023-11-30,1,HỒ CHÍ MINH,1500,5688,1791078548
2023-03-06,1,HÀ NỘI,2000,52444,6467254050
2023-02-10,0,HÀ NỘI,1500,31731,8197496268
2023-04-06,1,HỒ CHÍ MINH,1009,93,12390306
2023-02-28,0,HỒ CHÍ MINH,2000,82639,8990786164
2022-05-16,0,HÀ NỘI,1500,39098,9938499048
2022-05-23,0,HỒ CHÍ MINH,1500,13590,3408894617
2023-07-05,0,HỒ CHÍ MINH,2000,75498,7775638974
2023-11-15,1,HÀ NỘI,1009,60,7349281
2023-12-16,0,HÀ NỘI,1500,23776,5783876453
2023-03-12,1,HỒ CHÍ MINH,1500,5971,2043675861
2023-08-05,0,HỒ CHÍ MINH,2000,82181,8184793531
2024-04-10,0,HỒ CHÍ MINH,1500,8367,1743610980
2023-10-15,0,HÀ NỘI,2000,127480,11866268318
2022-09-13,0,HỒ CHÍ MINH,1500,13377,3248656039
2023-09-04,0,HỒ CHÍ MINH,1009,152,7634234
2022-12-16,1,HỒ CHÍ MINH,2000,3328,523652182
2023-12-06,0,HỒ CHÍ MINH,2000,67667,8042483989
2024-01-24,0,HỒ CHÍ MINH,1500,9256,2375222576
2023-04-12,0,HÀ NỘI,2000,126358,12348095774
2022-04-02,0,HÀ NỘI,2000,194748,24391837074
2023-02-08,0,HÀ NỘI,1500,28972,8050473357
2022-07-20,0,HÀ NỘI,2000,210400,24433298429
2023-07-03,0,HÀ NỘI,1500,27676,4937064794
2022-12-29,1,HÀ NỘI,1009,32,3903200
2023-11-03,0,HỒ CHÍ MINH,1009,173,8360787
2022-02-08,0,HỒ CHÍ MINH,1500,10352,2742636113
2024-03-15,0,HỒ CHÍ MINH,1009,34,2663317
2022-05-26,0,HÀ NỘI,2000,200576,20956560760
2022-10-12,0,HÀ NỘI,2000,200449,21547437121
2022-06-28,0,HỒ CHÍ MINH,1500,14073,3738162582
2023-11-25,0,HỒ CHÍ MINH,2000,79493,6999853666
2022-07-17,0,HỒ CHÍ MINH,2000,113958,14727831613
2024-03-19,0,HÀ NỘI,2000,104120,9491917451
2023-04-15,1,HỒ CHÍ MINH,2000,27321,4462729318
2022-06-25,0,HÀ NỘI,2000,214865,23776760003
2024-01-10,0,HÀ NỘI,1500,21422,6502334084
2022-02-18,0,HỒ CHÍ MINH,2000,97127,12625279081
2023-03-18,0,HỒ CHÍ MINH,1500,9758,2916876623
2022-08-19,0,HỒ CHÍ MINH,2000,103744,13038738655
2023-12-27,1,HÀ NỘI,2000,98661,11334626844
2023-08-01,0,HỒ CHÍ MINH,2000,81079,7221374422
2024-04-03,1,HÀ NỘI,2000,77989,9393247229
2023-09-28,0,HÀ NỘI,1500,28981,6734206620
2023-09-30,1,HÀ NỘI,2000,96034,14582344672
2023-03-08,0,HỒ CHÍ MINH,1500,9577,2074669907
2023-03-12,0,HÀ NỘI,1500,34105,9204220135
2024-01-17,1,HÀ NỘI,1500,19437,5200802825
2023-04-02,0,HỒ CHÍ MINH,1500,11094,2940589798
2023-01-06,1,HỒ CHÍ MINH,1500,1799,490767653
2023-10-03,1,HỒ CHÍ MINH,1500,6040,1712042783
2022-09-12,0,HÀ NỘI,1009,18,1893000
2023-12-05,1,HÀ NỘI,1009,29,2420750
2023-02-14,1,HỒ CHÍ MINH,1009,66,6231480
2022-10-11,0,HỒ CHÍ MINH,2000,106734,14446881412
2022-11-03,1,HÀ NỘI,1009,17,1302300
2024-02-14,0,HÀ NỘI,1500,27945,5526450612
2023-06-15,1,HỒ CHÍ MINH,2000,27776,4208909965
2023-07-06,1,HỒ CHÍ MINH,1009,172,16110737
2024-01-23,0,HỒ CHÍ MINH,1500,8811,2411226357
2023-10-22,1,HÀ NỘI,1009,61,5552470
2022-08-15,0,HỒ CHÍ MINH,2000,91809,11748374913
2023-06-14,1,HỒ CHÍ MINH,2000,29454,4416478463
2023-05-22,1,HÀ NỘI,1500,15442,4292270157
2023-03-06,1,HÀ NỘI,1500,13208,3589764651
2022-12-12,0,HỒ CHÍ MINH,1500,12989,3144430527
2023-03-06,0,HỒ CHÍ MINH,1500,9398,2489703711
2022-06-29,0,HÀ NỘI,2000,224449,23242164209
2023-08-06,0,HÀ NỘI,1009,27,1135900
2022-09-25,0,HÀ NỘI,2000,227667,26803180837
2024-02-07,1,HỒ CHÍ MINH,1500,5992,3447966713
2022-03-26,0,HỒ CHÍ MINH,1500,16847,4621305659
2024-02-15,0,HỒ CHÍ MINH,1500,8389,1581835364
2022-12-30,0,HÀ NỘI,1009,60,4851800
2022-02-24,0,HỒ CHÍ MINH,1500,11398,3402556250
2023-04-20,0,HÀ NỘI,1009,101,9710872
2023-02-24,1,HÀ NỘI,1009,51,3637532
2023-04-01,1,HÀ NỘI,1009,45,5998505
2023-10-23,1,HỒ CHÍ MINH,2000,37984,5157081525
2024-02-16,0,HỒ CHÍ MINH,1009,28,1178995
2022-04-05,0,HÀ NỘI,1500,36662,9670345949
2023-05-17,0,HÀ NỘI,1500,25782,5146762301
2022-10-02,0,HÀ NỘI,2000,224672,25356451326
2023-11-02,0,HÀ NỘI,1500,24511,5564383983
2023-05-31,1,HỒ CHÍ MINH,1009,78,18098694
2023-09-02,1,HỒ CHÍ MINH,1009,148,14739278
2023-03-02,1,HÀ NỘI,1009,39,4021250
2023-05-16,1,HỒ CHÍ MINH,2000,28992,4127132681
2023-09-21,1,HÀ NỘI,1500,17109,4802758411
2024-04-08,0,HÀ NỘI,2000,123170,12328687416
2023-01-07,0,HỒ CHÍ MINH,1500,12439,4262885624
2023-11-29,1,HÀ NỘI,2000,103967,11865692071
2023-10-03,1,HÀ NỘI,2000,96399,11205761732
2023-07-13,0,HÀ NỘI,2000,120940,11341143572
2023-09-27,0,HÀ NỘI,2000,106657,10040074233
2022-06-15,0,HÀ NỘI,2000,213718,25228597084
2023-04-27,0,HỒ CHÍ MINH,2000,82799,8157909900
2023-08-24,0,HÀ NỘI,1500,28265,5796637936
2022-06-25,0,HỒ CHÍ MINH,1500,17214,5238853960
2023-08-20,0,HỒ CHÍ MINH,2000,77966,7181448925
2023-10-14,0,HÀ NỘI,1500,32464,8136539117
2022-02-14,0,HỒ CHÍ MINH,1500,13066,3592631540
2024-02-06,0,HÀ NỘI,1500,37602,17357721790
2024-04-20,0,HÀ NỘI,2000,133015,11838666249
2022-09-05,0,HÀ NỘI,1500,42546,10206120341
2023-06-21,0,HỒ CHÍ MINH,1500,9264,1912526414
2024-03-29,1,HÀ NỘI,1500,21431,5288810835
2023-11-07,1,HỒ CHÍ MINH,2000,46575,6279066697
2023-12-02,0,HỒ CHÍ MINH,2000,77615,6659602810
2024-01-14,1,HỒ CHÍ MINH,1500,6883,2856960902
2023-08-16,0,HÀ NỘI,1500,27735,5759276443
2023-06-12,1,HÀ NỘI,1500,16958,4873090752
2022-12-02,1,HÀ NỘI,2000,6281,852993184
2024-04-09,0,HÀ NỘI,1500,19340,3950185029
2023-05-24,1,HÀ NỘI,2000,55857,7401660925
2023-06-03,1,HỒ CHÍ MINH,1500,6387,2146799877
2023-03-09,0,HỒ CHÍ MINH,1500,8567,1872086448
2023-10-22,1,HỒ CHÍ MINH,1500,7746,2588512007
2023-01-27,0,HỒ CHÍ MINH,1500,10893,2464321818
2023-11-15,1,HỒ CHÍ MINH,1500,6328,1966452265
2022-10-09,1,HỒ CHÍ MINH,2000,2888,562915059
2022-10-03,0,HỒ CHÍ MINH,1009,136,10951600
2023-07-05,1,HÀ NỘI,1009,93,8027755
2023-03-04,0,HỒ CHÍ MINH,1009,202,10950350
2023-11-12,0,HÀ NỘI,1009,75,28767700
2022-10-08,1,HỒ CHÍ MINH,1009,33,2612960
2024-03-03,1,HỒ CHÍ MINH,1009,97,25304734
2023-09-17,0,HỒ CHÍ MINH,1009,211,10830545
2023-07-13,0,HÀ NỘI,1009,30,1008088
2023-04-21,0,HÀ NỘI,1009,104,6254090
2022-11-04,0,HÀ NỘI,1009,27,1256700
2023-06-12,0,HÀ NỘI,1009,53,4244100
2023-11-19,1,HÀ NỘI,1009,61,21912470
2023-03-01,0,HÀ NỘI,1009,87,5579750
2022-11-29,0,HÀ NỘI,1009,37,2448400
2023-12-24,0,HỒ CHÍ MINH,1009,82,3029704
2022-09-13,1,HÀ NỘI,1009,11,1590000
2022-02-12,0,HỒ CHÍ MINH,2000,100941,13353904560
2022-10-08,1,HỒ CHÍ MINH,2000,2486,479750958
2024-02-17,1,HỒ CHÍ MINH,1500,4723,1613721927
2023-10-09,1,HÀ NỘI,1500,17468,5046460847
2024-01-13,0,HỒ CHÍ MINH,1500,10733,3714950255
2022-12-30,1,HÀ NỘI,2000,7088,1313214583
2023-09-12,0,HỒ CHÍ MINH,1009,184,12093871
2022-01-21,0,HÀ NỘI,1500,31558,16303515439
2022-01-01,0,HỒ CHÍ MINH,1500,13577,4999874033
2022-10-14,1,HÀ NỘI,2000,5193,748591084
