CALDAY,IS_MBS,CITY,BUSINESS_UNIT,MCH5_NAME,VALUE_TRANSACTIONS_MCH5,VALUE_SALE_AMOUNT_MCH5
2022-10-14,1,HỒ CHÍ MINH,2000,Gà nội địa,162,10939904
2022-12-15,0,HỒ CHÍ MINH,2000,Gà nội địa,2972,193179115
2023-10-08,1,HỒ CHÍ MINH,1500,Gà nội địa,745,64431387
2024-02-15,0,HỒ CHÍ MINH,1500,Gà nội địa,228,17772894
2022-04-21,0,HÀ NỘI,1500,Gà nội địa,2819,192193143
2024-02-15,1,HỒ CHÍ MINH,2000,Gà nội địa,1828,120172960
2022-08-25,0,HÀ NỘI,1500,Gà nội địa,3169,212568683
2023-11-15,0,HỒ CHÍ MINH,2000,Gà nội địa,847,51805147
2022-07-14,0,HỒ CHÍ MINH,2000,Gà nội địa,3539,238760138
2023-11-09,1,HÀ NỘI,2000,Gà nội địa,7660,446357011
2022-03-31,0,HỒ CHÍ MINH,2000,Gà nội địa,3512,211007601
2023-04-15,0,HỒ CHÍ MINH,1500,Gà nội địa,358,30054896
2022-02-27,0,HÀ NỘI,2000,Gà nội địa,5810,375707204
2022-01-25,0,HÀ NỘI,1500,Gà nội địa,1928,147051713
2023-10-01,1,HÀ NỘI,2000,Gà nội địa,7844,475976750
2023-03-14,0,HÀ NỘI,1500,Gà nội địa,1483,99217690
2024-01-14,1,HỒ CHÍ MINH,2000,Gà nội địa,3170,218807999
2022-12-24,1,HỒ CHÍ MINH,2000,Gà nội địa,366,22267844
2023-01-26,0,HỒ CHÍ MINH,1500,Gà nội địa,400,31945533
2023-04-07,0,HỒ CHÍ MINH,1500,Gà nội địa,316,27042831
2023-08-02,0,HỒ CHÍ MINH,1500,Gà nội địa,358,30110998
2022-05-21,0,HỒ CHÍ MINH,1500,Gà nội địa,1012,80647920
2023-02-04,1,HỒ CHÍ MINH,1500,Gà nội địa,265,20885298
2023-10-12,0,HỒ CHÍ MINH,1500,Gà nội địa,260,20638123
2023-05-20,0,HÀ NỘI,2000,Gà nội địa,577,37680451
2024-02-29,0,HÀ NỘI,2000,Gà nội địa,252,17054871
2022-07-02,0,HÀ NỘI,1500,Gà nội địa,3986,297529695
2022-07-22,0,HÀ NỘI,2000,Gà nội địa,6000,389291316
2023-07-28,0,HỒ CHÍ MINH,2000,Gà nội địa,1278,83595719
2024-02-13,1,HỒ CHÍ MINH,2000,Gà nội địa,1132,75952390
2022-01-23,0,HÀ NỘI,1500,Gà nội địa,3280,274271451
